p.last_name,p.first_name,r.title
Lai,Carey,Business Development Associate
Lai,Yidrienne,Corporate Development
Lalonde,Chris,Senior Director of Information Security
Lathi,Dinesh,"VP, Seller Experience"
Lathi,Dinesh,"VP - Managed Marketplace,,, VP - Buyer and Seller Experience,,,  VP - Seller Experience ,,, VP - Trust and Safety"
Leimer,George,"Sr. Director, Global CS Infrastructure"
Leung,Billy,Sr. Product Manager
Lewis,Alan,"Product Manager, Desktop"
Lewis,Katharine,N/A
Leyzerovich,Art,N/A
Li,Alex,Staff Software Engineer
Liang,Evan,Senior Product Manager
Lieberman,Usher,Senior Manager Corporate Communications
Lindow,Colleen,"Senior Manager, Billing & Collections"
Linton,Mike,Chief Marketing Officer
Lo,Timothy,Top Buyer Group
Lopin,Jonah,"Summer Intern, Top Seller Development"
Lou Song,Mary,N/A
Lu,Dave,"Senior Manager, Internet Marketing & Business Development"
Macnew,Sean,Category Manager
Majotra,Allan,"Director, Business Development & Marketing Strategy"
Maliwat,Chris,"Sr. Manager, Tailored Shopping Experiences - eBay Express"
Marshall,Dennis,Director Product Management
Martin-Gill,Will,"Director, Search Engine Marketing and Internet Marketing Strategy and planning"
Matsuda,Asher,"Sr. Manager, Customer Analytics"
Maybank,Alexis,"Founder, eBay Motors & eBay Canada"
McCullough,Greg,Engineer
McManus,Jeffrey,"Senior Manager, Platform Evangelism"
McRedmond,Ben,Software Developer Intern
Meiri,Jonathan,Product Manager
Meng Cheong,Chung,"Group Manager, Product Management & Product Marketing"
Mercando,Christina,Sr. Product and Design Manager
Miller,Justin,N/A
Monier,Louis,"eBay Fellow, director ATG"
Monro,Doug,Head of Strategy UK
Monsalve,Sergio,"Director of Categories (Product, Marketing, BD)"
Montemagno,Giulio,Head of Product Management
Moriarty,Eric,Manager
Moss,Gina,Executive Recruiter
Nagarajan,Chittu,Head
Narayanan,Amit,Marketing Campaigns Technical Consultant
Nash,Adam,"Director, eBay Express North America"
Nemitz,Anthony,Executive Senior Vice President of Contrarian Thinking
Nir,Udi,Sr. Director of Engineering
Norrington,Lorrie,"President, eBay Marketplaces"
Oh Lin,Sandra,"GM, Fashion"
Panowicz,Michal,"Strategy Manager (Summer Internship), Corporate Strategy Group"
Patil,DJ,"Director, Strategy, Analytics, and Product / Distinguished Research Scientist"
Penchina,Gil,"VP, General Manager"
Phenix,Jon,Sr. Business Development Manager - Strategic Partnerships
Phillips,Brian,"Director, PayPal International Marketplaces"
Pizov,Maya,Product Manager (Shopping.com)
Pizov,Maya,Account Manager
Porteus,Brad,"Director, Marketplace Programs"
Posner,Nico,Group Product Manager
Pringle,Todd,N/A
Puri,Prashant,"Head, Global SEM"
Raja,Natasha,Head of CRM Loyalty Marketing
Ramamurthi,Nancy,"Director, Business Operations"
Rawashdeh,Mazen,Vice President of Technical Operations
Robb,Andrew,Head of Motors and Category Development
Rosenberg,Howard,General Manager
Rothman,Simon,Founder & VP eBay Motors
Ru,Simon,Senior Member of Technical Staffs
Rubash,Mark,VP Finance & Investor Relations
Sample,Neal,CTO X.commerce
Samwer,Alexander,Managing Director Europe
Samwer,Marc,Managing Director Germany
Samwer,Oliver,Managing Director
Schmidt,Clint,"Senior Manager, Customer Acquisition"
Schmidt,Howard,Vice President  & Chief  Information Security Officer  &  Chief  Security Strategist
Sedlin,Faith,Product Manager
Seibel,Micki,"Director, Product, Buyers"
Seth,Shashi,"Principal, Product Strategy"
Seth,Shashi,Group Product Manager
Sevitz,Adrian,"Senior Manager, Site Experience"
Shah,Milind,"Software Engineer 3, Quality"
Shen,Lily,Director
Shilwant,Shailesh,"Director, UX"
Shirazi,Darian,Team Member
Shmukler,Elliot,"Senior Product Manager, Finding Traffic Optimization"
Shoup,Eric,"Director & General Manager, ProStores"
Shusterman,Richard,Technology Director
Silverman,Josh,N/A
Smalley,Preston,"Director, Design"
Smith,Vaughan,Corporate Development
Speiser,Leonard,Group Product Manager
Splaine,Sean,Executive Recruiter
Spoon,Ryan,"Senior Manager, Internet Marketing"
Stalder,Dana,"VP, Internet Marketing & Strategic Partnerships"
Stromberg,Eric,Product Manager
Stubo,Shannon,"VP, Corporate Communications"
Sung,Alex,Software Engineer
Suvacioglu,Alexi,Sr. Manager
Thibault,John,VP Business Development
Thomas,Deepak,"General Manager, US Classifieds & Mobile"
Thomas,Abe,N/A
Thomas,Jiby,Senior Manager - Motors
Tilenius,Stephanie,"VP & GM, eBay Motors"
Tilenius,Stephanie,"VP, International"
Tilenius,Stephanie,"SVP & GM, North America and Global Product"
Tognetti,Marina,Head of Category Management
Travers,David,N/A
Trivedi,Jalpa,Software Engineer Intern
Tung,Michael,Consulting Search Scientist
Valentine,Tom,Strategy and Business Development Manager
Van Winkle,Justin,Senior Member of Technical Staff
Veres,Rob,"Product Manager, Selling"
Vergotte,Michel,Director Advertising
Vogel,Henry,Vice President
Walker,Kent,Deputy General Counsel
Walter,Tom,Creative Director
Wang,Jing,CTO of eBay/China
Webb,Maynard,"President, eBay Technology"
Webb,Maynard,COO
Welch,Sarah,Associate Category Manager
Westly,Steve,"SVP, Marketing, Business Development, M & A, & International"
Wetzel,Josh,"Director, Distributed Commerce"
Whiteoak,Nigel,Head of Seller Experience
Whiteoak,Nigel,Head of Relationship Marketing
Whitman,Meg,"President, Chief Executive Officer, and Board Chairman"
Wienbroer,Kirtley,Corporate Infrastructure Engineer
Williams,Blake,N/A
Woo,Katherine,"Sr. Director, Product Strategy & Operations, eBay North America"
Wygant,David,Sr. Product Manager
Yankovich,Steve,"VP, Mobile"
Zennström,Niklas,"Non-Executive Chairman, Skype"
de Bure,Frederic,MD
van Keulen,Egbert,"Manager eBay Operations, Netherlands"
